Index,Depth,Temperature,Salinity
213,     212.0,      9.83,34124
214,     213.0,      9.82,34126
215,     214.0,      9.81,34127
216,     215.0,      9.80,34129
217,     216.0,      9.79,34131
218,     217.0,      9.79,34133
219,     218.0,      9.78,34135
220,     219.0,      9.78,34137
221,     220.0,      9.77,34140
222,     221.0,      9.77,34142
223,     222.0,      9.76,34145
224,     223.0,      9.74,34148
225,     224.0,      9.73,34152
226,     225.0,      9.72,34155
227,     226.0,      9.71,34158
228,     227.0,      9.69,34162
229,     228.0,      9.68,34165
230,     229.0,      9.67,34169
231,     230.0,      9.66,34173
232,     231.0,      9.65,34177
233,     232.0,      9.65,34181
234,     233.0,      9.65,34186
235,     234.0,      9.65,34190
236,     235.0,      9.65,34194
237,     236.0,      9.65,34198
238,     237.0,      9.65,34202
239,     238.0,      9.66,34206
240,     239.0,      9.66,34210
241,     240.0,      9.66,34214
242,     241.0,      9.66,34218
243,     242.0,      9.65,34221
244,     243.0,      9.65,34224
245,     244.0,      9.64,34227
246,     245.0,      9.63,34229
247,     246.0,      9.62,34232
248,     247.0,      9.61,34234
249,     248.0,      9.60,34236
250,     249.0,      9.59,34238
251,     250.0,      9.58,34240
252,     251.0,      9.57,34242
253,     252.0,      9.57,34244
254,     253.0,      9.56,34246
255,     254.0,      9.56,34248
256,     255.0,      9.55,34251
257,     256.0,      9.54,34254
258,     257.0,      9.54,34257
259,     258.0,      9.54,34259
260,     259.0,      9.54,34262
261,     260.0,      9.53,34265
262,     261.0,      9.52,34268
263,     262.0,      9.52,34270
264,     263.0,      9.51,34272
265,     264.0,      9.50,34274
266,     265.0,      9.49,34276
267,     266.0,      9.47,34277
268,     267.0,      9.45,34278
269,     268.0,      9.44,34278
270,     269.0,      9.41,34278
271,     270.0,      9.39,34278
272,     271.0,      9.36,34276
273,     272.0,      9.33,34275
274,     273.0,      9.30,34274
275,     274.0,      9.26,34272
276,     275.0,      9.23,34269
277,     276.0,      9.20,34267
278,     277.0,      9.17,34265
279,     278.0,      9.13,34262
280,     279.0,      9.10,34259
281,     280.0,      9.07,34257
282,     281.0,      9.04,34255
283,     282.0,      9.01,34253
284,     283.0,      8.99,34250
285,     284.0,      8.96,34247
286,     285.0,      8.94,34244
287,     286.0,      8.92,34241
288,     287.0,      8.88,34238
289,     288.0,      8.85,34235
290,     289.0,      8.82,34231
291,     290.0,      8.80,34227
292,     291.0,      8.77,34223
293,     292.0,      8.74,34218
294,     293.0,      8.70,34213
295,     294.0,      8.67,34209
296,     295.0,      8.63,34205
297,     296.0,      8.60,34202
298,     297.0,      8.50,34188
299,     298.0,      8.48,34188
300,     299.0,      8.47,34188
301,     300.0,      8.45,34189
302,     301.0,      8.42,34190
